epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,508.965,0.77577,1.47086,0.94166,0.96235,0.84539,0.93771,0.86008,0.38334,0.45198,0.79812,0.000221889,0.000221889,0.000221889
2,989.289,0.37855,0.43077,0.8085,0.96807,0.87971,0.95842,0.89826,0.32166,0.33399,0.78707,0.000400244,0.000400244,0.000400244
3,1546.29,0.32964,0.34627,0.79781,0.97928,0.90216,0.96852,0.92184,0.26897,0.28251,0.78024,0.000534577,0.000534577,0.000534577
4,2096.4,0.30081,0.29996,0.793,0.97224,0.90788,0.97091,0.9345,0.23122,0.25855,0.77518,0.000468901,0.000468901,0.000468901
5,2642.97,0.2755,0.26725,0.78903,0.97885,0.92112,0.97437,0.94295,0.21371,0.21747,0.77247,0.000402868,0.000402868,0.000402868
6,3117.55,0.25232,0.24493,0.78586,0.98549,0.93236,0.97936,0.9528,0.18755,0.19235,0.76912,0.000336835,0.000336835,0.000336835
7,3612.61,0.23345,0.22736,0.78357,0.98316,0.93051,0.97937,0.95573,0.17589,0.1867,0.7683,0.000270802,0.000270802,0.000270802
8,4099.25,0.22205,0.21351,0.78133,0.97958,0.93094,0.97869,0.95457,0.16947,0.17967,0.76788,0.000204769,0.000204769,0.000204769
9,4579.29,0.20573,0.20236,0.77964,0.98445,0.93339,0.98017,0.95776,0.16397,0.16965,0.76755,0.000138736,0.000138736,0.000138736
10,5052.57,0.19356,0.19142,0.77861,0.98269,0.94198,0.98157,0.9612,0.15407,0.16023,0.76617,7.2703e-05,7.2703e-05,7.2703e-05
