epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1693.03,0.97384,2.04065,0.98357,0.93813,0.76002,0.87564,0.71346,0.68056,0.65365,0.82855,0.000221461,0.000221461,0.000221461
2,2191.95,0.46201,0.54224,0.81809,0.94442,0.8066,0.92126,0.83384,0.40124,0.47428,0.79243,0.000399859,0.000399859,0.000399859
3,2758.8,0.40609,0.43381,0.80661,0.94378,0.81681,0.92781,0.86843,0.32297,0.39719,0.78462,0.000534235,0.000534235,0.000534235
4,3400.6,0.3648,0.37573,0.79932,0.95603,0.83607,0.93966,0.88645,0.28898,0.33871,0.77975,0.000468901,0.000468901,0.000468901
5,3816.14,0.32623,0.33418,0.79322,0.97008,0.86826,0.9536,0.88796,0.33208,0.29766,0.78141,0.000402868,0.000402868,0.000402868
6,4218.92,0.30886,0.31097,0.79095,0.97393,0.87913,0.95719,0.9152,0.23496,0.254,0.77276,0.000336835,0.000336835,0.000336835
7,4615.94,0.29142,0.29145,0.78847,0.96578,0.88391,0.95763,0.91768,0.23628,0.24842,0.77271,0.000270802,0.000270802,0.000270802
8,5011.44,0.2726,0.27543,0.78606,0.97258,0.88205,0.95894,0.92294,0.21572,0.2393,0.77058,0.000204769,0.000204769,0.000204769
9,5413.25,0.25687,0.26236,0.78426,0.96991,0.8855,0.95936,0.92309,0.21318,0.22916,0.7705,0.000138736,0.000138736,0.000138736
10,5814.25,0.24565,0.25191,0.78316,0.97248,0.89603,0.96311,0.92935,0.20154,0.21475,0.76956,7.2703e-05,7.2703e-05,7.2703e-05
