epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,371.087,0.46304,0.43653,0.84199,0.97659,0.89161,0.96177,0.91815,0.2629,0.2475,0.77528,0.00332667,0.00332667,0.00332667
2,750.609,0.54015,0.42948,0.84144,0.97884,0.88685,0.96088,0.901,0.3212,0.29411,0.78207,0.00652813,0.00652813,0.00652813
3,1134.34,0.56205,0.44134,0.84597,0.95998,0.84082,0.93992,0.84272,0.44097,0.36434,0.79611,0.0095976,0.0095976,0.0095976
4,1520.58,0.52394,0.4234,0.84153,0.96218,0.86484,0.94919,0.86198,0.41529,0.32184,0.79213,0.009406,0.009406,0.009406
5,1916.31,0.4747,0.39228,0.83407,0.97399,0.88769,0.96131,0.91527,0.27515,0.24902,0.77995,0.009208,0.009208,0.009208
